,Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location,month_year,Year,Month
150433,20150650490,7/9/2015 1:46,1,0,0,,N,197074,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),STATE HWY 155 & -UNKNOWN RAMP/ROAD -,NASHVILLE,TN,37214,9296,HERMIT,36.186,-86.6911,"(36.186, -86.6911)",2015-07,2015,7
150751,20150661982,7/13/2015 2:23,1,0,0,,N,879558,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),STATE HWY 45 & HILLS LN,OLD HICKORY,TN,37138,9739,HERMIT,36.2047,-86.622,"(36.2047, -86.622)",2015-07,2015,7
150753,20150662170,7/13/2015 3:55,1,0,0,,N,151145,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),COCKRILL BEND CIR & COCKRILL BEND BLVD,NASHVILLE,TN,37209,4653,WEST,36.1823,-86.8935,"(36.1823, -86.8935)",2015-07,2015,7
150913,20150669016,7/15/2015 3:40,1,0,0,,N,226220,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BRICK CHURCH LN & KNIGHT DR,WHITES CREEK,TN,37189,3223,NORTH,36.2446,-86.8018,"(36.2446, -86.8018)",2015-07,2015,7
151210,20150680187,7/18/2015 11:45,1,0,0,,N,109512,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),STATE HWY 254 & WOODLAND HILLS DR,NASHVILLE,TN,37211,8651,MIDTOW,36.0392,-86.7293,"(36.0392, -86.7293)",2015-07,2015,7
151288,20150683942,7/20/2015 0:00,1,0,0,Y,N,226827,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,30;50,UTILITY POLE;DEER (ANIMAL),STATE HWY 100 & PERCY WARNER BLVD,NASHVILLE,TN,37221,6211,WEST,36.0822,-86.8836,"(36.0822, -86.8836)",2015-07,2015,7
151460,20150690726,7/22/2015 5:25,1,0,0,,N,109543,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,4,DAWN,50,DEER (ANIMAL),STATE HWY 45 & US HWY 31W,MADISON,TN,37115,2039,MADISO,36.2692,-86.7557,"(36.2692, -86.7557)",2015-07,2015,7
151964,20150707703,7/27/2015 20:27,1,0,0,,N,876597,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),US HWY 41 & MAXWELL RD,ANTIOCH,TN,37013,8903,SOUTH,36.0353,-86.5983,"(36.0353, -86.5983)",2015-07,2015,7
151965,20150707774,7/27/2015 20:39,1,0,0,,N,179588,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),STATE HWY 45 & HILLS LN,OLD HICKORY,TN,37138,9739,HERMIT,36.2047,-86.622,"(36.2047, -86.622)",2015-07,2015,7
152096,20150712374,7/29/2015 8:59,2,0,0,,N,226207,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),MM 220 5 I 40,HERMITAGE,TN,37076,89042,HERMIT,36.1691,-86.6064,"(36.1691, -86.6064)",2015-07,2015,7
152146,20150713877,7/29/2015 19:42,1,0,0,,N,716886,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),PETTUS RD & OLD HICKORY BLVD,ANTIOCH,TN,37013,8763,SOUTH,36.0269,-86.6808,"(36.0269, -86.6808)",2015-07,2015,7
152151,20150714177,7/29/2015 20:41,1,0,0,,N,909489,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),LICKTON PIKE & CROCKER SPRINGS RD,WHITES CREEK,TN,37189,2105,MADISO,36.3033,-86.8067,"(36.3033, -86.8067)",2015-07,2015,7
152201,20150716978,7/30/2015 16:20,1,0,0,,N,433550,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),REDMOND LN & HOLT RD,NASHVILLE,TN,37211,8651,MIDTOW,36.013,-86.7194,"(36.013, -86.7194)",2015-07,2015,7
152583,20150729746,8/4/2015 0:22,1,0,0,,N,824610,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),4000 OLD HICKORY BLVD,OLD HICKORY,TN,37138,9713,HERMIT,36.2345,-86.6258,"(36.2345, -86.6258)",2015-08,2015,8
153048,20150745778,8/9/2015 2:25,2,1,0,,N,146775,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,1;50;63,DEER (ANIMAL);Ran Off Road-Right,MM 196 8 I 40,NASHVILLE,TN,37221,4806,WEST,36.0848,-86.9489,"(36.0848, -86.9489)",2015-08,2015,8
153090,20150747443,8/9/2015 8:30,1,0,0,,N,224846,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BELL RD & HARBORWOOD DR,NASHVILLE,TN,37214,8989,HERMIT,36.1327,-86.6292,"(36.1327, -86.6292)",2015-08,2015,8
153411,20150760224,8/13/2015 15:43,1,0,0,,N,909486,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),STATE HWY 254 & RIVER OAKS RD,NASHVILLE,TN,37215,6305,MIDTOW,36.0419,-86.8246,"(36.0419, -86.8246)",2015-08,2015,8
153557,20150764404,8/14/2015 19:26,1,0,0,,N,140790,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,1,DAYLIGHT,50,DEER (ANIMAL),STATE HWY 12 & OLD HYDES FERRY PIKE,NASHVILLE,TN,37218,3341,NORTH,36.2095,-86.9305,"(36.2095, -86.9305)",2015-08,2015,8
153657,20150767589,8/16/2015 0:09,1,0,0,,N,887608,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),NOLENSVILLE & BROOKLAWN,NASHVILLE,TN,,,,0,0,"(0.0, 0.0)",2015-08,2015,8
154093,20150782732,8/20/2015 13:00,1,0,0,,N,224305,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),EASTLAND AV & PRESTON DR,NASHVILLE,TN,37206,1371,EAST,36.1801,-86.7178,"(36.1801, -86.7178)",2015-08,2015,8
154301,20150790761,8/22/2015 23:04,1,1,0,,N,226827,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,34;50;55;64,DITCH;DEER (ANIMAL);Motor Vehicle-In-Motion Outside Trafficw;Ran Off Road-Left,POPLAR CREEK RD & TAYLOR LN PVTDR,NASHVILLE,TN,37221,4803,WEST,36.0541,-87.0047,"(36.0541, -87.0047)",2015-08,2015,8
155146,20150823209,9/2/2015 5:06,1,0,0,,N,110096,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),HAMILTON CHURCH & HOBSON PK,ANTIOCH,TN,,,,0,0,"(0.0, 0.0)",2015-09,2015,9
96514,20150826230,9/2/2015 22:35,1,0,0,,N,222544,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),VAUGHANS GAP RD & HARDING PIKE,NASHVILLE,TN,,,,0,0,"(0.0, 0.0)",2015-09,2015,9
155534,20150835152,9/5/2015 19:26,1,0,0,,N,876599,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),POPLAR CREEK RD & COLD STREAM DR,NASHVILLE,TN,37221,4811,WEST,36.0551,-86.96,"(36.0551, -86.96)",2015-09,2015,9
155611,20150838323,9/7/2015 2:35,1,0,0,,N,676828,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),FRANKLIN PKE & ELYSIAN FIELDS RD,NASHVILLE,TN,37204,7029,MIDTOW,36.0914,-86.7714,"(36.0914, -86.7714)",2015-09,2015,9
156112,20150855282,9/12/2015 6:29,1,0,0,,N,653629,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,4,DAWN,50,DEER (ANIMAL),CLARKSVILLE PKE & SIMPKINS RD,NASHVILLE,TN,37218,3231,NORTH,36.2687,-86.8599,"(36.2687, -86.8599)",2015-09,2015,9
156644,20150872563,9/17/2015 19:48,1,0,0,,N,140790,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),WHITES CREEK PKE & MORGAN RD,JOELTON,TN,37080,2309,NORTH,36.3526,-86.8806,"(36.3526, -86.8806)",2015-09,2015,9
156654,20150873282,9/18/2015 0:43,1,0,0,Y,N,109543,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),MM 92 6 I 65,MADISON,TN,37115,1704,MADISO,36.2702,-86.7364,"(36.2702, -86.7364)",2015-09,2015,9
156827,20150878931,9/20/2015 1:20,1,0,0,,N,727205,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),STATE HWY 254 & STATE HWY 100,NASHVILLE,TN,37221,6211,WEST,36.061,-86.9038,"(36.061, -86.9038)",2015-09,2015,9
156840,20150879320,9/20/2015 7:03,1,0,0,,N,607050,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),5600 S NEW HOPE RD,HERMITAGE,TN,37076,9517,HERMIT,36.1535,-86.5858,"(36.1535, -86.5858)",2015-09,2015,9
156900,20150881203,9/21/2015 5:51,1,0,0,,N,824610,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),3800 OLD HICKORY BLVD,OLD HICKORY,TN,37138,9711,HERMIT,36.2398,-86.6313,"(36.2398, -86.6313)",2015-09,2015,9
157012,20150884700,9/22/2015 6:05,1,0,0,,N,834798,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),FRANKLIN PKE & GLEN LEVEN DR,NASHVILLE,TN,37204,7017,MIDTOW,36.1036,-86.7726,"(36.1036, -86.7726)",2015-09,2015,9
157042,20150885736,9/22/2015 13:22,1,1,0,,N,226207,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),ROBINSON RD & MARTINGALE DR,OLD HICKORY,TN,37138,9619,HERMIT,36.2562,-86.6545,"(36.2562, -86.6545)",2015-09,2015,9
157092,20150887019,9/22/2015 20:30,1,0,0,,N,620082,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),CLARKSVILLE PKE & CREASY CT,JOELTON,TN,37080,3317,NORTH,36.3166,-86.8861,"(36.3166, -86.8861)",2015-09,2015,9
157221,20150891235,9/23/2015 22:30,1,0,0,,N,134872,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),FRANKLIN PKE & SHADOWSTONE PL,NASHVILLE,TN,37220,7111,MIDTOW,36.0616,-86.7743,"(36.0616, -86.7743)",2015-09,2015,9
157226,20150892189,9/24/2015 5:25,1,0,0,,N,226220,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),WHITES CREEK PKE & MORGAN RD,JOELTON,TN,37080,2309,NORTH,36.3526,-86.8806,"(36.3526, -86.8806)",2015-09,2015,9
157285,20150893884,9/24/2015 15:53,1,0,0,,N,109533,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),HURRICANE CREEK BOAT RMP & STONES RIVER,ANTIOCH,TN,,,,36.0498,-86.5624,"(36.0498, -86.5624)",2015-09,2015,9
157343,20150896020,9/25/2015 7:43,1,0,0,,N,546012,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),BRICK CHURCH PKE & UNION HILL RD,GOODLETTSVILLE,TN,37072,2139,MADISO,36.3242,-86.7711,"(36.3242, -86.7711)",2015-09,2015,9
157992,20150915763,10/1/2015 18:08,1,0,0,,N,109533,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HOBSON PKE & GRANNY WRIGHT LN,HERMITAGE,TN,37076,8913,SOUTH,36.1081,-86.5496,"(36.1081, -86.5496)",2015-10,2015,10
158035,20150917400,10/2/2015 4:00,1,0,0,,N,225805,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BURKITT RD & WHITTEMORE LN,NOLENSVILLE,TN,37135,8773,SOUTH,35.9919,-86.6548,"(35.9919, -86.6548)",2015-10,2015,10
158135,20150919313,10/2/2015 19:20,1,0,0,,N,807338,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),TYNE BLVD & FRANKLIN PKE,NASHVILLE,TN,37220,7103,MIDTOW,36.0776,-86.7765,"(36.0776, -86.7765)",2015-10,2015,10
158162,20150920515,10/3/2015 5:45,1,1,0,,N,191573,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50;6,DEER (ANIMAL),GALLATIN PKEN & RIVERCHASE BLVD,MADISON,TN,37115,1721,MADISO,36.3086,-86.6815,"(36.3086, -86.6815)",2015-10,2015,10
158273,20150923022,10/4/2015 9:05,1,0,0,,N,134868,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,1,DAYLIGHT,50,DEER (ANIMAL),HARDING PKE & BROOKMONT TER,NASHVILLE,TN,37221,4901,WEST,36.0809,-86.8996,"(36.0809, -86.8996)",2015-10,2015,10
158329,20150924798,10/5/2015 5:05,1,0,0,,N,109531,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),EASTLAND AV & BRITTANY DR,NASHVILLE,TN,37206,1373,EAST,36.1783,-86.7152,"(36.1783, -86.7152)",2015-10,2015,10
158435,20150927934,10/6/2015 0:00,1,0,0,,N,435391,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),WHITES CREEK PKE & PARMLEY LN,NASHVILLE,TN,37207,3221,NORTH,36.2429,-86.8215,"(36.2429, -86.8215)",2015-10,2015,10
158442,20150928340,10/6/2015 7:22,1,0,0,,N,226622,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,4,DAWN,50,DEER (ANIMAL),HIGHWAY 70S & HARPETH VALLEY RD,NASHVILLE,TN,37221,4713,WEST,36.0823,-86.9605,"(36.0823, -86.9605)",2015-10,2015,10
158547,20150932178,10/7/2015 8:25,1,0,0,,N,224567,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),BURKITT & BATTLE,ANTIOCH,TN,37013,8771,SOUTH,35.9971,-86.6235,"(35.9971, -86.6235)",2015-10,2015,10
158724,20150939048,10/9/2015 6:59,3,1,0,,N,225805,5,SIDESWIPE - SAME DIRECTION,21,CLEAR,1,DAYLIGHT,12;50,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),MM 62 8 I24,ANTIOCH,TN,,,,0,0,"(0.0, 0.0)",2015-10,2015,10
158983,20150945325,10/11/2015 17:48,1,0,0,,N,483528,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),RURAL HILL & TOOK,NASHVILLE,TN,,,,0,0,"(0.0, 0.0)",2015-10,2015,10
158988,20150945376,10/11/2015 18:50,1,0,0,,N,179606,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),COCKRILL BEND BLVD & WESTBELT DR,NASHVILLE,TN,37209,4641,WEST,36.1709,-86.8773,"(36.1709, -86.8773)",2015-10,2015,10
159055,20150947938,10/12/2015 16:40,1,0,0,,N,179576,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),STATE HWY 100 & HIGHLAND PARK DR,NASHVILLE,TN,37221,6211,WEST,36.0779,-86.8863,"(36.0779, -86.8863)",2015-10,2015,10
159057,20150947964,10/12/2015 16:47,1,0,0,,N,179606,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),HIGHWAY 100 & HARPETH GLEN CONDOS PVTDR,NASHVILLE,TN,37221,6211,WEST,36.076,-86.8894,"(36.076, -86.8894)",2015-10,2015,10
159076,20150948244,10/12/2015 18:53,1,1,0,,N,437465,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,3,DARK - LIGHTED,50,DEER (ANIMAL),HICKORY HOLLOW PKWY & HICKORY HOLLOW MAL,ANTIOCH,TN,37013,8859,SOUTH,36.0484,-86.6593,"(36.0484, -86.6593)",2015-10,2015,10
159119,20150949617,10/13/2015 6:44,1,0,0,,N,226622,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,5,FOG,4,DAWN,50,DEER (ANIMAL),CHICKERING LN & PICCADILLY PL,NASHVILLE,TN,37215,6205,WEST,36.0607,-86.866,"(36.0607, -86.866)",2015-10,2015,10
159520,20150962159,10/16/2015 22:35,1,0,0,,N,807927,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,34;50;63,DITCH;DEER (ANIMAL);Ran Off Road-Right,CLARKSVILLE PKE & DOUGLAS RD,JOELTON,TN,37080,3317,NORTH,36.3219,-86.9062,"(36.3219, -86.9062)",2015-10,2015,10
159598,20150964356,10/17/2015 20:28,1,0,0,,N,909486,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),FRANKLIN PKE & FARRELL RD,NASHVILLE,TN,37220,7109,MIDTOW,36.0707,-86.7741,"(36.0707, -86.7741)",2015-10,2015,10
159685,20150966601,10/18/2015 0:00,1,0,0,,N,179606,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),MCCRORY LN & NEWSOM STATION RD,NASHVILLE,TN,37221,4713,WEST,36.0784,-87.0219,"(36.0784, -87.0219)",2015-10,2015,10
159619,20150964949,10/18/2015 0:27,1,0,0,,N,834821,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HILLSBORO PKE & BANCROFT PL,NASHVILLE,TN,37215,6307,MIDTOW,36.0704,-86.8424,"(36.0704, -86.8424)",2015-10,2015,10
159687,20150966618,10/18/2015 20:50,1,2,0,,N,596389,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,34;50,DITCH;DEER (ANIMAL),HIGHWAY 100 & HIGHWAY 96,NASHVILLE,TN,37221,4805,WEST,36.0128,-87.0451,"(36.0128, -87.0451)",2015-10,2015,10
159779,20150969698,10/19/2015 22:40,1,0,0,,N,807319,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),BRILEY PKWYW & BRILEY PKWY W ENT RAMP,MADISON,TN,37115,1594,MADISO,36.2363,-86.7274,"(36.2363, -86.7274)",2015-10,2015,10
159816,20150971163,10/20/2015 11:30,1,0,0,,N,226214,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),MM 4 2 SPRINGFIELD HWY,GOODLETTSVILLE,TN,37072,2219,MADISO,36.3768,-86.7461,"(36.3768, -86.7461)",2015-10,2015,10
159868,20150972603,10/20/2015 19:00,1,0,0,,N,725756,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),OLD HICKORY BLVD & S HIGHLANDS DR,NASHVILLE,TN,37221,4901,WEST,36.0642,-86.9172,"(36.0642, -86.9172)",2015-10,2015,10
159875,20150973224,10/20/2015 22:25,1,0,0,,N,493301,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HIGHWAY 70S & CHARLOTTE PKE,NASHVILLE,TN,37221,4709,WEST,36.0917,-86.9812,"(36.0917, -86.9812)",2015-10,2015,10
159937,20150975012,10/21/2015 12:30,1,1,0,,N,224305,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,1,DAYLIGHT,50,DEER (ANIMAL),I65 N ENT RAMP & BRILEY PKWY W ENT RAMP,MADISON,TN,37115,1876,MADISO,36.2398,-86.7439,"(36.2398, -86.7439)",2015-10,2015,10
160001,20150977016,10/22/2015 3:00,1,0,0,,N,807927,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,3,DARK - LIGHTED,50,DEER (ANIMAL),WHITES CREEK PKE & UNION HILL RD,JOELTON,TN,37080,3311,NORTH,36.3181,-86.8665,"(36.3181, -86.8665)",2015-10,2015,10
160119,20150979831,10/22/2015 20:18,1,0,0,,N,591933,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),CLARKSVILLE PKE & EATONS CREEK RD,JOELTON,TN,37080,3335,NORTH,36.292,-86.8839,"(36.292, -86.8839)",2015-10,2015,10
160112,20150979610,10/22/2015 20:19,1,0,0,,N,909489,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),SPRINGFIELD HWY & EAST END RD,GOODLETTSVILLE,TN,37072,2217,MADISO,36.3943,-86.7643,"(36.3943, -86.7643)",2015-10,2015,10
160125,20150980211,10/22/2015 23:45,3,0,0,,N,151127,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),MM 35 3 I 24,JOELTON,TN,37080,22121,NORTH,36.3231,-86.8612,"(36.3231, -86.8612)",2015-10,2015,10
160170,20150981670,10/23/2015 11:52,1,1,0,,N,544482,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,1,DAYLIGHT,50,DEER (ANIMAL),HILLSBORO PKE & BRIDLEWAY TRL,NASHVILLE,TN,37215,6205,WEST,36.0517,-86.8591,"(36.0517, -86.8591)",2015-10,2015,10
160233,20150982823,10/23/2015 18:39,1,0,0,,N,725756,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HIGHWAY 70S & SADDLE RIDGE CT,NASHVILLE,TN,37221,4713,WEST,36.0865,-86.9726,"(36.0865, -86.9726)",2015-10,2015,10
160355,20150985885,10/25/2015 0:05,1,1,0,Y,N,169414,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,30;50,UTILITY POLE;DEER (ANIMAL),BATTLE RD & CAROTHERS RD,NOLENSVILLE,TN,37135,8773,SOUTH,35.9849,-86.6262,"(35.9849, -86.6262)",2015-10,2015,10
160892,20150997100,10/28/2015 21:42,1,0,0,,N,876597,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),NOLENSVILLE PKE & SUGAR VALLEY DR,ANTIOCH,TN,37013,8759,SOUTH,36.016,-86.7061,"(36.016, -86.7061)",2015-10,2015,10
160910,20150998313,10/29/2015 6:00,1,0,0,,N,226214,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),UNION HILL RD & GREER RD,GOODLETTSVILLE,TN,37072,2207,MADISO,36.3381,-86.7865,"(36.3381, -86.7865)",2015-10,2015,10
160905,20150998276,10/29/2015 6:42,1,0,0,,N,633390,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,4,DAWN,50,DEER (ANIMAL),ASHLAND CITY HWY & JENNIE BROWN LN,NASHVILLE,TN,37218,3235,NORTH,36.2102,-86.8766,"(36.2102, -86.8766)",2015-10,2015,10
161002,20151001754,10/30/2015 7:14,1,1,0,,N,224640,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,4,DAWN,50,DEER (ANIMAL),STEWARTS FERRY PKE & HICKORY PL,NASHVILLE,TN,37214,9407,HERMIT,36.1586,-86.6408,"(36.1586, -86.6408)",2015-10,2015,10
161087,20151004133,10/30/2015 22:18,2,0,0,,N,169422,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),LEBANON PKE & DISSPAYNE DR,NASHVILLE,TN,37214,9403,HERMIT,36.1725,-86.6496,"(36.1725, -86.6496)",2015-10,2015,10
161092,20151004286,10/30/2015 23:00,1,0,0,,N,909489,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,22,CLOUDY,3,DARK - LIGHTED,50,DEER (ANIMAL),EDMONDSON PKE & CANDLESTICK DR,NASHVILLE,TN,37211,8657,MIDTOW,36.0654,-86.7385,"(36.0654, -86.7385)",2015-10,2015,10
161103,20151004843,10/31/2015 4:35,1,0,0,,N,435391,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,21,CLEAR,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),ASHLAND CITY HWY & PECAN VALLEY RD,NASHVILLE,TN,37218,3325,NORTH,36.2056,-86.9487,"(36.2056, -86.9487)",2015-10,2015,10
